City_name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_temperature,Wind_speed
Tagusao,41,PH,1602991891,68,9.19,117.81,84.54,7.0
Mimongo,100,GA,1602991892,95,-1.62,11.61,70.65,1.12
Abhā,0,SA,1602991893,34,18.22,42.51,51.8,7.85
Taoudenni,0,ML,1602991894,22,22.68,-3.98,79.02,6.31
Forsytheganj,100,BY,1602991896,92,52.63,29.73,40.32,12.33
Keningau,20,MY,1602991765,62,5.34,116.16,89.6,5.82
San Jose,20,US,1602991826,36,37.34,-121.89,75.99,5.82
Batemans Bay,17,AU,1602991899,80,-35.72,150.18,63.0,4.0
Mvuma,0,ZW,1602991900,61,-19.28,30.53,60.89,1.95
Willmar,1,US,1602991901,74,45.12,-95.04,35.6,12.75
Hammerfest,97,NO,1602991902,100,70.66,23.68,28.4,6.93
Ca Mau,100,VN,1602991750,85,9.18,105.15,81.0,7.2
Belmonte,75,BR,1602991904,88,-15.86,-38.88,69.8,5.82
Katangli,89,RU,1602991905,72,51.71,143.23,47.17,10.65
Ilulissat,100,GL,1602991906,86,69.22,-51.1,37.4,6.93
Hīt,0,IQ,1602991908,31,33.64,42.83,70.77,5.91
Pangody,100,RU,1602991909,94,65.85,74.49,24.87,21.88
Soeng Sang,75,TH,1602991910,100,14.43,102.46,69.8,6.93
Caucayá,98,CO,1602991911,96,-0.19,-74.78,72.3,1.14
Lokosovo,100,RU,1602991912,97,61.13,74.82,28.36,24.43
Dingle,57,PH,1602991913,73,11.0,122.67,86.52,8.48
Yellowknife,75,CA,1602991914,92,62.46,-114.35,25.0,10.29
Bandarbeyla,0,SO,1602991915,71,9.49,50.81,81.19,10.89
Aden,0,YE,1602991916,68,12.78,45.04,83.79,10.92
Coari,90,BR,1602991727,86,-4.08,-63.14,76.64,1.66
Sembakung,100,ID,1602991918,71,3.82,117.25,84.49,1.99
Farafangana,97,MG,1602991919,78,-22.82,47.83,70.21,7.65
Conakry,78,GN,1602991920,82,9.54,-13.68,80.11,6.76
Oranjemund,0,NA,1602991921,92,-28.55,16.43,56.55,8.55
Devonport,15,AU,1602991846,60,-41.17,146.35,61.0,11.99
Ikryanoye,75,RU,1602991924,82,46.09,47.73,59.0,8.95
Itarema,98,BR,1602991925,78,-2.92,-39.92,79.03,15.61
Balkanabat,0,TM,1602991926,22,39.51,54.37,68.59,10.67
Araouane,0,ML,1602991927,18,18.9,-3.53,86.36,11.56
Diamantina,99,BR,1602991928,97,-18.25,-43.6,58.98,7.07
São Sebastião,96,BR,1602991929,81,-23.76,-45.41,67.59,7.16
Korla,99,CN,1602991930,44,41.76,86.15,55.0,4.0
Pangnirtung,99,CA,1602991931,91,66.15,-65.71,26.56,6.31
Grindavik,75,IS,1602991932,93,63.84,-22.43,42.8,24.16
Torata,0,PE,1602991933,49,-17.08,-70.84,56.01,1.41
Vrangel',0,RU,1602991934,47,42.73,133.08,58.24,13.24
Tessalit,0,ML,1602991935,20,20.2,1.01,78.84,9.48
Yaan,22,NG,1602991936,91,7.38,8.57,69.6,3.15
Kunming,90,CN,1602991803,100,25.04,102.72,57.0,8.95
Emerald,1,AU,1602991792,22,-23.53,148.17,86.0,9.17
Naryan-Mar,16,RU,1602991939,97,67.67,53.09,28.99,5.06
Zhangye,0,CN,1602991941,30,38.93,100.45,56.88,9.17
Praia da Vitória,20,PT,1602991942,72,38.73,-27.07,59.0,9.75
Alamosa,1,US,1602991943,22,37.47,-105.87,55.4,5.82
Uyemskiy,90,RU,1602991944,100,64.47,40.85,37.4,4.47
Bundaberg,40,AU,1602991945,47,-24.85,152.35,81.0,14.99
Nuuk,100,GL,1602991946,87,64.18,-51.72,42.8,3.36
Luanda,75,AO,1602991947,78,-8.84,13.23,77.0,8.05
Griffith,90,US,1602991727,35,41.53,-87.42,59.0,17.22
Hong Kong,31,HK,1602991949,64,22.29,114.16,80.01,4.0
Mil'kovo,99,RU,1602991950,61,54.72,158.62,43.48,10.54
Westport,1,US,1602991805,75,41.14,-73.36,46.4,4.7
Acapulco de Juárez,14,MX,1602991811,82,16.86,-99.89,80.38,7.45
Aitape,100,PG,1602991953,82,-3.14,142.35,80.15,6.46
Coquimbo,0,CL,1602991948,100,-29.95,-71.34,51.8,5.82
Karratha,1,AU,1602991756,37,-20.74,116.85,81.99,16.53
Darnah,49,LY,1602991956,83,32.77,22.64,74.01,8.34
Chimbote,14,PE,1602991958,89,-9.09,-78.58,61.39,5.03
Kisangani,100,CD,1602991959,98,0.52,25.2,69.51,2.42
Ambilobe,0,MG,1602991960,62,-13.2,49.05,75.96,3.6
Teguise,99,ES,1602991961,77,29.06,-13.56,64.4,3.36
Bama,0,NG,1602991962,53,11.52,13.69,78.44,6.11
Mattru,94,SL,1602991963,98,7.62,-11.83,73.44,1.05
Beibei,90,CN,1602991964,87,29.83,106.43,60.01,4.47
Arman',100,RU,1602991965,93,59.7,150.17,33.55,4.9
Diamantino,13,BR,1602991966,61,-14.41,-56.45,78.17,1.9
Uvalde,1,US,1602991967,73,29.37,-99.77,72.0,8.05
Harar,0,ET,1602991968,80,9.31,42.13,60.39,1.12
Erzin,4,TR,1602991969,87,36.96,36.2,71.01,1.01
San Quintín,0,MX,1602991970,83,30.48,-115.95,68.92,8.41
Xam Nua,100,LA,1602991971,87,20.42,104.04,60.49,3.0
Kibala,88,TD,1602991972,83,9.11,18.35,75.2,3.33
Ouadda,99,CF,1602991974,87,8.08,22.4,66.9,1.48
Primo Tapia,5,MX,1602991975,77,32.22,-116.92,71.01,3.36
Vaitape,59,PF,1602991976,72,-16.52,-151.75,81.05,4.07
Umluj,0,SA,1602991977,40,25.02,37.27,83.34,8.39
Karoi,0,ZW,1602991978,45,-16.81,29.69,61.27,4.63
Meadow Lake,1,US,1602991979,15,34.8,-106.54,66.99,5.39
Rock Springs,1,US,1602991980,37,41.59,-109.2,50.0,16.11
El Alto,88,PE,1602991981,86,-4.27,-81.21,64.18,12.73
Pitimbu,20,BR,1602991982,88,-7.47,-34.81,73.4,5.82
Rondonópolis,3,BR,1602991983,64,-16.47,-54.64,76.12,1.52
Aklavik,20,CA,1602991984,72,68.22,-135.01,14.0,5.82
Catherinas Lust,60,GY,1602991985,80,6.4,-57.6,80.19,10.11
Yar-Sale,100,RU,1602991986,96,66.83,70.83,22.06,13.42
San Patricio,1,US,1602991987,88,28.02,-97.52,77.0,11.41
Pevek,100,RU,1602991988,98,69.7,170.31,29.5,13.35
Waddān,16,LY,1602991989,89,29.16,16.14,67.21,7.52
Doka,0,SD,1602991991,61,13.52,35.77,72.32,3.38
Atar,16,MR,1602991992,30,20.52,-13.05,85.3,6.91
Nola,17,IT,1602991993,87,40.92,14.53,57.0,2.24
Evensk,100,RU,1602991994,81,61.95,159.23,36.43,13.53
Nāgar Karnūl,91,IN,1602991995,74,16.48,78.32,79.03,4.79
Kyra,82,RU,1602991996,54,49.58,111.98,45.48,6.76
Praia,20,CV,1602991991,88,14.92,-23.51,77.0,5.82
Pacific Grove,1,US,1602991986,72,36.62,-121.92,64.99,3.36
Castle Rock,91,US,1602991999,31,39.37,-104.86,55.0,3.0
The Valley,40,AI,1602992000,83,18.22,-63.06,80.6,6.93
Duluth,90,US,1602991948,74,46.78,-92.11,37.4,11.41
Tres Arroyos,0,AR,1602992002,81,-38.37,-60.28,70.16,16.87
Geraldton,0,AU,1602992003,32,-28.77,114.6,80.6,14.99
Gazojak,0,TM,1602992004,28,41.19,61.4,61.34,5.97
Rassvet,76,RU,1602992005,63,46.83,40.75,57.11,5.21
Murgab,0,TM,1602992006,61,37.5,61.97,48.2,4.21
Linfen,87,CN,1602992008,26,36.09,111.52,65.01,1.1
Tabou,54,CI,1602992009,91,4.42,-7.35,76.12,5.93
Mitsamiouli,6,KM,1602992010,74,-11.38,43.28,79.02,3.11
Kutum,54,SD,1602992011,22,14.2,24.67,72.25,8.72
Zhigansk,100,RU,1602992012,94,66.77,123.37,13.84,6.76
Flin Flon,100,CA,1602992013,97,54.77,-101.86,26.74,10.27
Bassano,0,CA,1602992014,78,50.78,-112.47,21.0,7.31
Bubaque,13,GW,1602992016,86,11.28,-15.83,81.73,11.56
Teya,100,RU,1602992017,86,60.38,92.63,42.06,12.53
Te Anau,92,NZ,1602991999,63,-45.42,167.72,57.04,4.05
Leningradskiy,0,RU,1602992019,88,69.38,178.42,23.29,7.7
Sept-Îles,90,CA,1602992020,93,50.2,-66.38,44.6,17.22
Kontagora,0,NG,1602992021,91,10.4,5.47,72.72,2.93
Pishin,0,PK,1602992022,23,30.58,67.0,59.63,0.29
Oga,2,IT,1602992023,100,46.46,10.35,37.4,2.24
Prince Rupert,90,CA,1602992025,93,54.32,-130.32,42.8,5.82
Kalispell,90,US,1602992026,68,48.2,-114.31,30.99,24.16
Campoverde,26,PE,1602992012,75,-8.48,-74.81,75.52,1.54
Gizo Government Station,100,SB,1602992028,81,-8.1,156.84,79.2,4.41
Aksu,0,CN,1602992029,31,41.12,80.26,59.0,2.66
Anchorage,75,US,1602992030,47,61.22,-149.9,37.99,3.36
Vila Velha,75,BR,1602992031,94,-20.33,-40.29,68.0,4.7
Guangzhou,40,CN,1602991917,50,23.12,113.25,77.0,13.42
Iqaluit,90,CA,1602992033,74,63.75,-68.51,33.8,2.24
Khani,0,GE,1602992034,93,41.96,42.96,48.2,2.24
Borovoy,75,RU,1602992035,71,55.43,86.08,50.0,22.37
Miraflores,20,MX,1602992036,55,19.22,-98.81,64.4,8.05
Imbituba,20,BR,1602992038,93,-28.24,-48.67,64.4,1.12
Płock,90,PL,1602992039,93,52.55,19.71,41.0,10.29
Bácum,10,MX,1602992040,84,27.55,-110.08,80.94,2.71
Pahrump,0,US,1602992041,18,36.21,-115.98,66.99,1.99
Scottsbluff,90,US,1602992042,74,41.87,-103.67,35.6,8.05
Ixtapa,5,MX,1602992043,83,20.7,-105.2,84.2,3.36
Turukhansk,100,RU,1602992044,98,65.82,87.98,30.54,18.37
Aswān,0,EG,1602992045,30,24.09,32.91,76.19,6.91
Howard Springs,75,AU,1602992046,62,-12.5,131.05,87.8,10.29
Gradiste,2,RS,1602992047,92,44.76,21.51,39.0,1.7
Maksatikha,100,RU,1602992048,97,57.8,35.88,32.77,6.04
Qui Nhon,100,VN,1602992049,80,13.77,109.23,81.01,2.01
Kalabo,0,ZM,1602992049,27,-14.97,22.68,67.19,5.32
Muzhi,94,RU,1602992052,95,65.37,64.67,26.26,13.02
Šiauliai,58,LT,1602992053,81,55.93,23.32,35.6,9.17
Châteaudun,90,FR,1602992054,100,48.08,1.33,37.4,1.12
Mabaruma,85,GY,1602991969,89,8.2,-59.78,76.42,3.47
Daru,30,PG,1602992056,73,-9.08,143.21,82.26,15.21
Green River,1,US,1602992057,37,41.53,-109.47,50.0,16.11
Faya,0,SA,1602992058,34,18.39,42.45,51.8,4.99
Maumere,64,ID,1602992059,65,-8.62,122.21,85.48,1.57
Mangit,0,UZ,1602992060,54,40.6,70.96,55.4,2.24
Rio Branco do Sul,76,BR,1602992007,77,-25.19,-49.31,59.0,3.83
Puerto Palomas,1,MX,1602992062,20,31.77,-107.62,68.0,6.93
San Luis,0,AR,1602992064,36,-33.3,-66.34,76.68,12.73
Brigantine,1,US,1602992065,93,39.41,-74.36,54.0,1.48
Lompoc,1,US,1602991777,93,34.64,-120.46,64.0,3.36
Moosomin,75,CA,1602992067,86,50.13,-101.67,22.15,10.83
Yichang,100,CN,1602991881,60,30.71,111.28,62.01,0.81
Praia,20,CV,1602991991,88,14.92,-23.51,77.0,5.82
Nikol'sk,99,RU,1602992070,63,53.72,46.07,42.96,20.42
Zima,100,RU,1602992071,59,53.92,102.04,45.23,6.06
Çermik,0,TR,1602992072,45,38.14,39.45,46.4,6.93
Lincoln,20,US,1602991788,61,40.8,-96.67,46.4,13.87
Singaraja,47,ID,1602992074,55,-8.11,115.09,87.03,3.09
Noumea,20,NC,1602992075,47,-22.28,166.46,80.6,13.87
‘Āhuimanu,40,US,1602992076,83,21.44,-157.84,82.4,4.7
Narodychi,100,UA,1602992077,84,51.2,29.08,42.57,12.39
Mikhaylovka,98,RU,1602992078,75,50.06,43.24,53.01,8.01
La Asuncion,4,VE,1602992079,88,11.03,-63.86,82.4,10.29
Caernarfon,85,GB,1602992081,93,53.14,-4.27,43.0,4.7
Kibi,100,GH,1602992082,100,6.16,-0.55,70.79,1.57
Were Īlu,14,ET,1602992083,84,10.6,39.43,48.79,4.7
Jinchang,0,CN,1602992084,34,38.5,102.17,52.99,0.98
Līsakovsk,0,KZ,1602992085,77,52.54,62.49,36.3,5.37
Vizinga,22,RU,1602992086,97,61.07,50.1,29.55,7.09
Brae,76,GB,1602992087,66,60.4,-1.35,41.0,10.29
Shestakovo,100,RU,1602992088,77,56.49,103.96,43.92,8.99
Kathu,75,TH,1602992089,83,7.92,98.33,82.0,12.75
Genç,0,TR,1602992090,44,38.75,40.56,51.89,2.73
Machalí,0,CL,1602992091,75,-34.18,-70.67,57.34,1.68
Pathein,69,MM,1602992092,74,16.78,94.73,84.42,12.77
Qinggang,25,CN,1602992093,55,46.68,126.08,43.21,9.66
Northam,87,GB,1602992095,92,51.03,-4.22,46.99,1.99
Hobyo,11,SO,1602992096,76,5.35,48.53,79.9,14.43
Toora-Khem,97,RU,1602992097,63,52.47,96.11,42.13,3.2
Rome,1,US,1602992098,74,43.21,-75.46,42.01,5.82
Presidencia Roque Sáenz Peña,4,AR,1602992099,93,-26.79,-60.44,70.21,4.59
Akdepe,0,TM,1602992100,27,42.06,59.38,44.6,4.7
Ngunguru,12,NZ,1602992101,60,-35.62,174.5,69.01,7.0
Halifax,7,CA,1602992102,89,44.65,-63.57,45.0,1.99
Beira,75,MZ,1602992019,94,-19.84,34.84,68.0,4.7
Shashi,96,CN,1602992104,50,30.31,112.24,65.05,4.09
Dwārka,68,IN,1602992105,71,22.24,68.97,85.86,12.75
Belaya Gora,97,RU,1602992106,97,68.53,146.42,23.76,12.35
Maceió,11,BR,1602992025,94,-9.67,-35.74,69.8,2.24
Hornepayne,100,CA,1602992108,97,49.21,-84.77,33.39,10.07
Longonjo,0,AO,1602992109,72,-12.91,15.25,64.27,1.34
Mildura,75,AU,1602992095,45,-34.2,142.15,64.0,9.17
Parabel',100,RU,1602992111,90,58.7,81.48,32.04,22.28
Fatehpur,0,IN,1602992113,39,25.93,80.8,86.83,3.4
Malanje,49,AO,1602992114,96,-9.54,16.34,64.2,1.36
Orlik,62,RU,1602992115,75,52.52,99.83,36.73,3.06
Nueva Loja,100,EC,1602992116,97,0.08,-76.88,70.63,2.01
Aykhal,0,RU,1602992117,92,66.0,111.5,12.2,2.24
Ganzhou,100,CN,1602992118,90,28.82,115.43,59.07,2.75
Aktau,0,KZ,1602991828,74,43.65,51.2,37.4,11.18
Carutapera,5,BR,1602992120,85,-1.2,-46.02,76.73,4.97
Anadyr,67,RU,1602992121,80,64.75,177.48,35.6,2.24
Avera,40,US,1602992122,87,33.19,-82.53,54.0,5.82
Ballina,41,AU,1602992123,54,-28.87,153.57,88.0,17.22
Nishihara,20,JP,1602992124,54,26.18,127.76,84.2,12.75
Kulhudhuffushi,99,MV,1602992125,77,6.62,73.07,82.44,14.36
Nabire,100,ID,1602992126,88,-3.37,135.48,79.36,4.88
Novyy Urgal,0,RU,1602992127,71,51.07,132.56,33.08,14.27
Henties Bay,0,NA,1602992129,94,-22.12,14.28,57.0,1.99
Maragogi,5,BR,1602992130,81,-9.01,-35.22,74.17,8.86
Tadine,11,NC,1602992131,57,-21.55,167.88,74.88,9.78
Holetown,40,BB,1602992132,88,13.19,-59.64,77.0,14.99
Quatre Cocos,75,MU,1602992133,83,-20.21,57.76,77.0,2.24
Bahir Dar,34,ET,1602992134,85,11.59,37.39,59.07,3.98
Nhulunbuy,40,AU,1602992135,55,-12.23,136.77,87.8,12.75
Shaoguan,87,CN,1602992136,63,24.8,113.58,72.84,5.99
Alekseyevsk,100,RU,1602992137,91,57.84,108.35,40.06,6.49
Pontes e Lacerda,50,BR,1602992138,85,-15.23,-59.34,73.6,1.95
Arrondissement de Thiers,90,FR,1602992139,87,45.83,3.5,46.4,1.48
Pavlivka,72,UA,1602992140,87,49.44,28.46,44.6,8.95
Berlevåg,99,NO,1602991989,74,70.86,29.09,37.81,11.79
Kloulklubed,90,PW,1602992142,88,7.04,134.26,78.8,3.36
Nicoya,92,CR,1602992143,74,10.15,-85.45,80.6,11.41
Fort Myers Beach,1,US,1602992144,83,26.45,-81.95,77.0,9.17
Nangwa,16,TZ,1602992145,97,-4.47,35.45,54.48,5.75
High Level,90,CA,1602992146,67,58.52,-117.14,23.0,4.7
Dabat,4,ET,1602992147,71,12.98,37.77,52.09,3.96
Port-Gentil,100,GA,1602992149,86,-0.72,8.78,77.56,9.04
Namikupa,13,TZ,1602992150,82,-10.83,39.6,71.33,4.81
Obihiro,20,JP,1602992093,44,42.92,143.2,60.8,4.7
Biograd na Moru,0,HR,1602992152,93,43.94,15.45,46.99,3.36
Glasgow,90,GB,1602992001,93,55.87,-4.26,46.4,4.7
Bilma,0,NE,1602992154,17,18.69,12.92,79.14,5.17
Olafsvik,100,IS,1602992100,83,64.89,-23.71,45.3,25.61
La Libertad,90,EC,1602991890,85,-2.23,-80.9,69.94,7.49
Scarborough,97,GB,1602992149,92,54.28,-0.4,46.99,10.11
Janaúba,100,BR,1602992158,69,-15.8,-43.31,70.43,12.21
Yenagoa,95,NG,1602992159,95,4.92,6.26,72.73,1.32
Darhan,54,MN,1602992160,52,49.49,105.92,46.63,10.07
Shiyan,100,CN,1602992161,53,32.65,110.78,65.16,3.18
Tura,38,IN,1602992162,71,25.52,90.22,85.23,2.1
Shingū,75,JP,1602992163,82,33.73,135.98,64.4,5.82
Port Shepstone,0,ZA,1602992165,64,-30.74,30.45,67.73,7.74
Blagoyevo,100,RU,1602992166,93,63.37,47.92,32.9,8.9
Lixouri,20,GR,1602992167,87,38.2,20.43,55.4,10.18
Abu Samrah,0,SY,1602992168,82,35.3,37.18,56.17,1.32
Cosalá,0,MX,1602992170,89,24.41,-106.69,84.0,1.99
Oliver,75,CA,1602992171,58,49.18,-119.55,48.99,4.7
Zhezkazgan,18,KZ,1602992172,40,47.8,67.71,54.7,9.82
Dogondoutchi,36,NE,1602992173,49,13.64,4.03,83.66,7.11
Petropavlovsk-Kamchatskiy,40,RU,1602992174,70,53.05,158.65,46.4,4.47
Guerrero Negro,21,MX,1602992175,74,27.98,-114.06,72.43,10.13
Menongue,2,AO,1602992176,54,-14.66,17.69,65.32,4.16
Poronaysk,34,RU,1602992177,54,49.22,143.12,54.27,15.86
Port Blair,100,IN,1602992178,80,11.67,92.75,82.22,15.55
Narsaq,41,GL,1602992179,80,60.92,-46.05,35.6,3.69
Lochmaben,100,GB,1602992181,100,55.13,-3.44,46.0,9.17
Los Llanos de Aridane,100,ES,1602992182,88,28.66,-17.92,71.6,10.29
Port Keats,52,AU,1602992183,59,-14.25,129.55,88.32,7.96
Abdulino,78,RU,1602992184,87,53.7,53.67,33.93,6.76
Hargeisa,0,SO,1602992185,49,9.56,44.06,69.4,5.41
Am Timan,30,TD,1602992187,72,11.03,20.28,71.11,2.73
Road Town,17,VG,1602992121,93,18.42,-64.62,80.01,4.0
